X,Y,EventCode,EventName,Timestamp,ProcessID
399,363,512,Move,2889111,0
401,364,512,Move,2889120,0
401,366,512,Move,2889130,0
405,369,512,Move,2889140,0
410,372,512,Move,2889151,0
422,379,512,Move,2889161,0
434,383,512,Move,2889171,0
465,397,512,Move,2889181,0
497,411,512,Move,2889192,0
552,433,512,Move,2889202,0
584,447,512,Move,2889212,0
646,469,512,Move,2889223,0
677,479,512,Move,2889233,0
716,487,512,Move,2889243,0
730,490,512,Move,2889253,0
740,491,512,Move,2889263,0
741,492,512,Move,2889274,0
740,492,512,Move,2889315,0
739,492,512,Move,2889325,0
737,492,512,Move,2891593,0
736,492,512,Move,2891603,0
737,492,512,Move,2891840,0
738,492,512,Move,2891850,0
739,492,512,Move,2891870,0
741,491,512,Move,2891881,0
742,490,512,Move,2891891,0
744,489,512,Move,2891901,0
745,488,512,Move,2891912,0
746,488,512,Move,2891922,0
747,487,512,Move,2891932,0
749,485,512,Move,2891942,0
752,483,512,Move,2891953,0
755,480,512,Move,2891963,0
759,477,512,Move,2891973,0
762,471,512,Move,2891983,0
766,465,512,Move,2891993,0
772,461,512,Move,2892004,0
774,455,512,Move,2892014,0
779,449,512,Move,2892024,0
782,446,512,Move,2892034,0
787,438,512,Move,2892045,0
790,434,512,Move,2892055,0
794,428,512,Move,2892065,0
800,421,512,Move,2892076,0
805,416,512,Move,2892086,0
808,410,512,Move,2892096,0
811,406,512,Move,2892106,0
816,400,512,Move,2892117,0
818,396,512,Move,2892127,0
824,390,512,Move,2892137,0
826,387,512,Move,2892148,0
831,380,512,Move,2892158,0
834,376,512,Move,2892168,0
839,370,512,Move,2892178,0
842,365,512,Move,2892189,0
847,359,512,Move,2892199,0
852,353,512,Move,2892209,0
858,346,512,Move,2892219,0
863,338,512,Move,2892230,0
869,332,512,Move,2892240,0
876,321,512,Move,2892250,0
882,314,512,Move,2892260,0
887,306,512,Move,2892271,0
891,300,512,Move,2892281,0
894,296,512,Move,2892291,0
896,293,512,Move,2892301,0
897,291,512,Move,2892312,0
899,290,512,Move,2892322,0
900,288,512,Move,2892332,0
901,286,512,Move,2892343,0
904,284,512,Move,2892353,0
906,283,512,Move,2892363,0
907,283,512,Move,2892373,0
909,281,512,Move,2892383,0
913,280,512,Move,2892394,0
915,279,512,Move,2892404,0
918,276,512,Move,2892414,0
920,273,512,Move,2892425,0
922,272,512,Move,2892435,0
925,270,512,Move,2892445,0
926,269,512,Move,2892455,0
927,267,512,Move,2892466,0
927,266,512,Move,2892476,0
928,265,512,Move,2892496,0
929,264,512,Move,2892507,0
930,262,512,Move,2892517,0
932,260,512,Move,2892527,0
933,258,512,Move,2892538,0
934,258,512,Move,2892548,0
935,256,512,Move,2892558,0
935,255,512,Move,2892568,0
936,255,512,Move,2892579,0
936,254,512,Move,2892589,0
936,253,512,Move,2892599,0
937,252,512,Move,2892610,0
937,251,512,Move,2892630,0
938,250,512,Move,2892640,0
939,250,512,Move,2892650,0
939,249,512,Move,2892661,0
939,248,512,Move,2892671,0
939,247,512,Move,2892681,0
939,246,512,Move,2892702,0
939,245,512,Move,2892712,0
939,244,512,Move,2892743,0
939,243,512,Move,2892753,0
939,242,512,Move,2892763,0
939,241,512,Move,2892784,0
939,240,160,Move,2892805,0
939,239,160,Move,2892846,0
939,238,160,Move,2892866,0
939,237,160,Move,2892917,0
939,236,160,Move,2892979,0
939,236,161,Pressed,2893215,0
939,236,514,Released,2893318,0
939,236,512,Move,2893327,0
939,236,512,Move,2893338,0
939,236,512,Move,2893339,0
939,236,512,Move,2893345,0
939,236,512,Move,2893352,0
939,236,512,Move,2893365,0
938,236,512,Move,2893451,0
937,236,512,Move,2893461,0
936,237,512,Move,2893472,0
935,238,512,Move,2893482,0
933,239,512,Move,2893492,0
932,240,512,Move,2893502,0
931,241,512,Move,2893512,0
929,243,512,Move,2893523,0
926,244,512,Move,2893533,0
923,247,512,Move,2893543,0
917,251,512,Move,2893554,0
911,255,512,Move,2893564,0
902,263,512,Move,2893574,0
893,270,512,Move,2893585,0
880,279,512,Move,2893595,0
874,290,512,Move,2893605,0
864,301,512,Move,2893615,0
859,310,512,Move,2893626,0
852,321,512,Move,2893636,0
848,330,512,Move,2893646,0
844,340,512,Move,2893656,0
843,349,512,Move,2893667,0
842,359,512,Move,2893677,0
841,364,512,Move,2893687,0
838,373,512,Move,2893697,0
838,377,512,Move,2893708,0
836,382,512,Move,2893718,0
834,386,512,Move,2893728,0
834,388,512,Move,2893739,0
833,391,512,Move,2893749,0
832,393,512,Move,2893759,0
830,396,512,Move,2893769,0
829,399,512,Move,2893780,0
828,403,512,Move,2893790,0
827,405,512,Move,2893800,0
826,409,512,Move,2893810,0
826,412,512,Move,2893821,0
824,417,512,Move,2893831,0
823,423,512,Move,2893841,0
822,433,512,Move,2893851,0
821,438,512,Move,2893862,0
820,445,512,Move,2893872,0
820,446,512,Move,2893882,0
820,447,512,Move,2894242,0
819,448,512,Move,2894252,0
818,449,512,Move,2894262,0
818,450,512,Move,2894272,0
818,452,512,Move,2894334,0
818,453,512,Move,2894344,0
818,455,512,Move,2894354,0
818,456,512,Move,2894365,0
818,457,512,Move,2894375,0
818,459,512,Move,2894806,0
818,461,512,Move,2894816,0
818,465,512,Move,2894826,0
818,473,512,Move,2894837,0
816,478,512,Move,2894847,0
815,489,512,Move,2894857,0
814,496,512,Move,2894868,0
814,507,512,Move,2894878,0
815,517,512,Move,2894888,0
819,529,512,Move,2894898,0
823,538,512,Move,2894909,0
829,551,512,Move,2894919,0
833,558,512,Move,2894929,0
837,569,512,Move,2894939,0
839,574,512,Move,2894950,0
842,581,512,Move,2894960,0
844,587,512,Move,2894970,0
846,594,512,Move,2894980,0
849,600,512,Move,2894991,0
853,609,512,Move,2895001,0
855,615,512,Move,2895011,0
858,622,512,Move,2895022,0
865,631,512,Move,2895032,0
870,639,512,Move,2895042,0
876,646,512,Move,2895052,0
878,649,512,Move,2895063,0
879,649,512,Move,2895073,0
878,649,512,Move,2895607,0
877,649,512,Move,2895617,0
877,650,512,Move,2895668,0
876,650,512,Move,2895689,0
875,650,512,Move,2895740,0
874,650,512,Move,2895791,0
873,650,512,Move,2895833,0
872,650,512,Move,2895853,0
870,650,512,Move,2895873,0
869,650,512,Move,2895884,0
868,650,512,Move,2895894,0
866,650,512,Move,2895904,0
865,650,512,Move,2895915,0
863,650,512,Move,2895925,0
863,649,512,Move,2895935,0
863,648,512,Move,2896212,0
863,647,512,Move,2896223,0
862,647,512,Move,2896233,0
862,646,512,Move,2896243,0
863,646,512,Move,2896264,0
864,646,512,Move,2896274,0
866,644,512,Move,2896284,0
867,644,512,Move,2896295,0
867,642,512,Move,2896305,0
867,640,512,Move,2896315,0
868,640,512,Move,2896325,0
868,638,512,Move,2896335,0
868,636,512,Move,2896356,0
868,635,512,Move,2896377,0
868,634,512,Move,2896387,0
868,632,512,Move,2896397,0
869,631,512,Move,2896407,0
871,625,512,Move,2896418,0
874,620,512,Move,2896428,0
877,609,512,Move,2896438,0
881,602,512,Move,2896448,0
886,591,512,Move,2896459,0
890,585,512,Move,2896469,0
897,572,512,Move,2896479,0
904,558,512,Move,2896490,0
917,537,512,Move,2896500,0
943,484,512,Move,2896510,0
966,441,512,Move,2896520,0
999,378,512,Move,2896530,0
1021,338,512,Move,2896541,0
1052,288,512,Move,2896551,0
1068,267,512,Move,2896561,0
1080,254,512,Move,2896572,0
1086,250,512,Move,2896582,0
1090,248,512,Move,2896592,0
1093,247,512,Move,2896777,0
1110,235,512,Move,2896787,0
1135,211,512,Move,2896798,0
1178,168,512,Move,2896808,0
1207,141,512,Move,2896818,0
1238,109,512,Move,2896828,0
1249,94,512,Move,2896838,0
1263,79,512,Move,2896849,0
1270,70,512,Move,2896859,0
1275,62,512,Move,2896869,0
1279,55,512,Move,2896879,0
1279,50,512,Move,2896890,0
1279,49,512,Move,2896900,0
1279,47,512,Move,2896910,0
1279,46,512,Move,2896921,0
1279,44,512,Move,2896941,0
1279,43,512,Move,2896951,0
1279,42,512,Move,2897013,0
1279,41,512,Move,2897023,0
1278,41,512,Move,2897054,0
1276,41,512,Move,2897064,0
1275,41,512,Move,2897075,0
1273,41,512,Move,2897085,0
1272,39,512,Move,2897126,0
1271,36,512,Move,2897136,0
1270,33,512,Move,2897146,0
1269,32,512,Move,2897157,0
1269,30,512,Move,2897167,0
1267,27,512,Move,2897177,0
1267,24,160,Move,2897187,0
1266,23,160,Move,2897198,0
1265,21,160,Move,2897208,0
1264,19,160,Move,2897218,0
1264,18,160,Move,2897228,0
1264,17,160,Move,2897239,0
1263,16,160,Move,2897249,0
1262,16,160,Move,2897280,0
1262,15,160,Move,2897290,0
1262,15,161,Pressed,2897342,0
1262,15,514,Released,2897423,0
1262,15,512,Move,2897434,0
1258,20,512,Move,2897568,0
1255,23,512,Move,2897578,0
1252,27,512,Move,2897588,0
1249,33,512,Move,2897598,0
1243,39,512,Move,2897609,0
1233,53,512,Move,2897618,0
1226,67,512,Move,2897629,0
1210,91,512,Move,2897639,0
1200,108,512,Move,2897649,0
1179,139,512,Move,2897660,0
1166,159,512,Move,2897670,0
1141,199,512,Move,2897680,0
1121,227,512,Move,2897690,0
1090,277,512,Move,2897701,0
1071,313,512,Move,2897711,0
1050,365,160,Move,2897722,3
1050,365,160,Move,2897723,3
1037,388,512,Move,2897731,3
1037,388,512,Move,2897732,3
1037,388,512,Move,2897732,3
