client timestamp,button,state,x,y
2309,NoButton,Move,1256,748
2387,NoButton,Move,1254,748
2387,NoButton,Move,1217,549
2387,NoButton,Move,1237,521
2402,NoButton,Move,1258,501
2402,NoButton,Move,1272,491
2418,NoButton,Move,1286,482
2418,NoButton,Move,1295,473
2433,NoButton,Move,1304,464
2433,NoButton,Move,1308,454
2449,NoButton,Move,1310,447
2449,NoButton,Move,1310,445
2465,NoButton,Move,1310,442
2465,NoButton,Move,1310,440
2480,NoButton,Move,1310,439
2496,NoButton,Move,1310,438
2496,NoButton,Move,1310,438
2574,NoButton,Move,1310,438
2589,NoButton,Move,1310,438
2605,NoButton,Move,1310,439
2605,NoButton,Move,1310,441
2621,NoButton,Move,1310,441
2621,NoButton,Move,1310,442
2636,NoButton,Move,1309,444
2636,NoButton,Move,1308,445
2652,NoButton,Move,1307,447
2652,NoButton,Move,1303,450
2667,NoButton,Move,1297,454
2683,NoButton,Move,1290,459
2683,NoButton,Move,1282,465
2699,NoButton,Move,1273,474
2699,NoButton,Move,1265,482
2714,NoButton,Move,1258,489
2714,NoButton,Move,1250,497
2730,NoButton,Move,1242,505
2730,NoButton,Move,1237,516
2745,NoButton,Move,1230,520
2745,NoButton,Move,1227,523
2761,NoButton,Move,1225,524
2761,NoButton,Move,1223,525
2777,NoButton,Move,1222,525
2855,NoButton,Move,1222,525
2870,NoButton,Move,1222,525
2870,NoButton,Move,1222,523
2886,NoButton,Move,1223,521
2886,NoButton,Move,1223,518
2901,NoButton,Move,1224,515
2901,NoButton,Move,1224,513
2917,NoButton,Move,1227,508
2917,NoButton,Move,1228,507
2933,NoButton,Move,1229,504
2933,NoButton,Move,1231,499
2948,NoButton,Move,1233,497
2948,NoButton,Move,1233,495
2964,NoButton,Move,1233,495
2964,NoButton,Move,1233,494
2979,NoButton,Move,1233,493
3104,Left,Pressed,1233,493
3198,Left,Released,1233,493
3354,NoButton,Move,1234,493
3369,NoButton,Move,1234,493
3369,NoButton,Move,1234,496
3385,NoButton,Move,1235,497
3385,NoButton,Move,1237,501
3401,NoButton,Move,1238,504
3401,NoButton,Move,1242,508
3416,NoButton,Move,1245,512
3416,NoButton,Move,1248,515
3432,NoButton,Move,1251,518
3432,NoButton,Move,1256,523
3447,NoButton,Move,1260,523
3447,NoButton,Move,1266,526
3463,NoButton,Move,1269,528
3463,NoButton,Move,1273,529
3479,NoButton,Move,1276,530
3479,NoButton,Move,1277,531
3494,NoButton,Move,1278,531
3494,NoButton,Move,1278,532
3525,NoButton,Move,1278,532
3541,NoButton,Move,1278,534
3541,NoButton,Move,1278,534
3557,NoButton,Move,1278,535
3557,NoButton,Move,1278,536
3572,NoButton,Move,1278,538
3572,NoButton,Move,1281,542
3588,NoButton,Move,1281,544
3588,NoButton,Move,1282,546
3603,NoButton,Move,1283,550
3619,NoButton,Move,1284,555
3619,NoButton,Move,1286,558
3635,NoButton,Move,1286,562
3635,NoButton,Move,1287,565
3650,NoButton,Move,1288,567
3650,NoButton,Move,1288,570
3666,NoButton,Move,1289,571
3666,NoButton,Move,1289,572
3744,NoButton,Move,1289,572
3759,NoButton,Move,1289,572
3775,NoButton,Move,1289,571
3791,NoButton,Move,1289,571
3806,NoButton,Move,1289,570
3806,NoButton,Move,1289,569
3822,NoButton,Move,1289,567
3822,NoButton,Move,1289,566
3837,NoButton,Move,1289,564
3837,NoButton,Move,1289,563
3853,NoButton,Move,1289,560
3853,NoButton,Move,1289,559
3869,NoButton,Move,1289,558
3869,NoButton,Move,1289,557
3884,NoButton,Move,1289,556
3900,Left,Pressed,1289,556
3915,NoButton,Drag,1289,555
4009,Left,Released,1289,555
4165,NoButton,Move,1289,555
4493,NoButton,Move,1289,555
4508,NoButton,Move,1288,555
4508,NoButton,Move,1288,556
4524,NoButton,Move,1288,556
4555,NoButton,Move,1287,557
4586,NoButton,Move,1287,557
4898,NoButton,Move,1287,558
5663,NoButton,Move,1287,559
5678,NoButton,Move,1287,559
5678,NoButton,Move,1287,560
5694,NoButton,Move,1287,561
5725,NoButton,Move,1287,562
6006,NoButton,Move,1287,562
6021,NoButton,Move,1287,563
6131,NoButton,Move,1287,563
6146,NoButton,Move,1286,564
7176,NoButton,Move,1286,565
7191,NoButton,Move,1286,565
7207,NoButton,Move,1286,566
7207,NoButton,Move,1286,566
7223,NoButton,Move,1285,567
7238,NoButton,Move,1285,567
7254,NoButton,Move,1285,568
7269,NoButton,Move,1285,569
7269,NoButton,Move,1284,569
7301,NoButton,Move,1284,570
7800,NoButton,Move,1284,570
7815,NoButton,Move,1284,571
7815,NoButton,Move,1284,572
7831,NoButton,Move,1283,573
7831,NoButton,Move,1283,573
7847,NoButton,Move,1283,574
7847,NoButton,Move,1283,575
7862,NoButton,Move,1283,576
7878,NoButton,Move,1283,576
7893,NoButton,Move,1282,577
7909,NoButton,Move,1282,578
7909,NoButton,Move,1282,579
12776,NoButton,Move,1282,579
12792,NoButton,Move,1280,579
12792,NoButton,Move,1264,579
12807,NoButton,Move,1242,579
12807,NoButton,Move,1211,579
12823,NoButton,Move,1172,579
12823,NoButton,Move,1130,579
12839,NoButton,Move,1083,581
12839,NoButton,Move,1026,587
12854,NoButton,Move,958,597
12854,NoButton,Move,902,596
12870,NoButton,Move,844,596
12870,NoButton,Move,789,596
12885,NoButton,Move,742,596
12885,NoButton,Move,692,596
12901,NoButton,Move,647,596
12901,NoButton,Move,603,596
12917,NoButton,Move,564,596
12917,NoButton,Move,522,596
12932,NoButton,Move,489,596
12932,NoButton,Move,453,596
12948,NoButton,Move,425,596
12948,NoButton,Move,397,596
12963,NoButton,Move,377,596
12979,NoButton,Move,356,598
12979,NoButton,Move,338,601
12995,NoButton,Move,322,605
12995,NoButton,Move,308,608
13010,NoButton,Move,292,613
13010,NoButton,Move,265,618
13026,NoButton,Move,229,627
13026,NoButton,Move,193,638
13041,NoButton,Move,157,648
13041,NoButton,Move,115,660
13057,NoButton,Move,73,673
13057,NoButton,Move,38,690
13073,NoButton,Move,11,705
13073,NoButton,Move,-17,724
13088,NoButton,Move,-22,740
13088,NoButton,Move,-17,751
13104,NoButton,Move,-5,754
13104,NoButton,Move,-2,757
13151,NoButton,Move,0,757
13151,NoButton,Move,1,757
13166,NoButton,Move,5,755
13166,NoButton,Move,7,754
